Site Name,Site Code,Replicate,UTM,pH,Na,NH4,K,Mg,Ca,Cl,SO4,PO4,NO3,Orib_mites,Pred_Mites,Collem,Enchy,All_Mites,Total_Invert
Q1,B,1,"540876.1E, 6986200N",6.21,2.52,2.07,4.05,0.66,4.5,1.73,1.33,2.11,0.25,66126.28,0,13024.87245,21040.17857,66126.27551,100191.3265
Q1,B,2,"540876.1E, 6986200N",6.35,5.97,2.47,8.46,3.3,13.05,10.04,7.59,6.26,0.31,37523.88535,0,21263.53503,3752.388535,37523.88535,62539.80892
Q1,B,3,"540876.1E, 6986200N",6.55,8.58,0.68,5.88,6.5,40.76,12,49.58,2.84,0.44,74888.77119,0,44933.26271,43269.0678,74888.77119,163091.1017
Q1,B,4,"540876.1E, 6986200N",6.19,5.94,0.69,7.63,4.97,27.21,8.66,22.69,7.26,0.95,6656.779661,0,23298.72881,38831.21469,6656.779661,68786.72316
Q1,B,5,"540876.1E, 6986200N",6.05,3.78,2.7,5.98,1.35,6.65,4.38,7.97,2.49,0.7,46597.45763,0,23298.72881,665.6779661,46597.45763,70561.86441
Q1,B,6,"540876.1E, 6986200N",5.68,2.84,2.18,5.45,1.17,4.28,2.91,2.9,2.06,0.43,16641.94915,0,71560.38136,69896.18644,16641.94915,158098.5169
Q1,B,7,"540876.1E, 6986200N",6.38,7.46,1.02,7.67,5.94,26.91,12.5,40.97,6.96,0.53,53254.23729,0,6656.779661,32618.22034,53254.23729,92529.23729
Q1,B,8,"540876.1E, 6986200N",6.27,6.65,0.74,4.35,2.82,16.99,7.79,15.58,2.75,0.79,7820.243363,868.9159292,11295.90708,53872.78761,8689.159292,73857.85398
Q1,B,9,"540876.1E, 6986200N",5.46,4.28,0.27,5.4,1.13,5.72,4.64,2.98,3,0,80050.95541,0,26266.71975,5003.184713,80050.95541,111320.8599
Q1,B,10,"540876.1E, 6986200N",6.33,6.37,2.44,10,3.95,15.27,10.1,18.54,14.91,0.3,25517.65537,0,12204.09605,29955.50847,25517.65537,67677.25989
Q2,C,1,"540760.1E, 6985865N",6.57,4.99,0.62,25.43,6.39,37.5,5.7,10,23.76,0.95,6253.980892,0,90057.32484,76298.56688,6253.980892,172609.8726
Q2,C,2,"540760.1E, 6985865N",6.44,3.41,0.27,8.62,2.29,17.49,3.24,4.25,2.47,0.82,3080.392157,0,52366.66667,48516.17647,3080.392157,103963.2353
Q2,C,3,"540760.1E, 6985865N",6.57,6.32,0.81,11.47,4.73,28.98,8.85,7.16,8.49,1.79,714.09,0,5712.727273,0,714.0909091,6426.818182
Q2,C,4,"540760.1E, 6985865N",6.5,6.2,0.82,12.019,6.03,44,11.46,18.97,6.08,1.43,6656.78,0,20802.43644,0,6656.779661,27459.2161
Q2,C,5,"540760.1E, 6985865N",6.7,9.47,0.62,19.75,5.3,32.93,7.81,7.15,27.1,2.22,2501.59,0,33771.49682,41276.27389,2501.592357,77549.36306
Q2,C,6,"540760.1E, 6985865N",6.63,7.59,0.6,9.78,3.59,26.1,7.88,12.11,1.67,0.19,6656.78,0,25295.76271,55916.94915,6656.779661,87869.49153
Q2,C,7,"540760.1E, 6985865N",6.7,5.19,0.61,3.82,3.25,23.59,6.09,7.14,3.48,0,29397.45509,0,37628.74251,21166.16766,29397.45509,88192.36527
Q2,C,8,"540760.1E, 6985865N",6.43,5.6,0.72,18.6,5.67,33.92,6.99,10.77,13.7,1.17,23873.03922,0,22332.84314,145548.5294,23873.03922,191754.4118
Q2,C,9,"540760.1E, 6985865N",6.43,4.53,3.5,8.97,3.35,22.57,6.44,8.59,6.14,1.25,6656.779661,832.0974576,12481.46186,9153.072034,7488.877119,29123.41102
Q2,C,10,"540760.1E, 6985865N",6.04,5.39,5.45,19.75,5.5,36.59,10.21,16.08,19.53,1.49,13313.55932,0,35946.61017,3994.067797,13313.55932,53254.23729
Monolith,D,1,"544852.7E, 6987268N",6.1,2.63,0,0.001,0.41,5.26,1.93,3.081,0,0.411,24821.22128,108.6144912,34584.78147,21701.18947,24929.83577,81215.80671
Monolith,D,2,"544852.7E, 6987268N",6.34,0.692,0,0.001,0.001,3.75,0.73,0.443,0,0.012,36747.43772,832.0974576,24279.22582,29237.36067,37579.53518,91096.12167
Monolith,D,3,"544852.7E, 6987268N",5.92,1.005,0,0.001,0.001,1.78,0.921,0.871,0,0.001,36115.36725,1430.803004,10370.03291,29628.87511,37546.17025,77545.07827
Monolith,D,4,"544852.7E, 6987268N",5.85,1.261,0,0.47,1.241,7.66,3.23,0.688,0,0.391,66840.81238,0,36132.69368,66692.11188,66840.81238,169665.6179
Monolith,D,5,"544852.7E, 6987268N",5.81,0.835,0,0.075,0.001,2.507,0.001,0.5,0,0.02,36612.1311,1363.715278,7213.837403,5211.395559,37975.84638,50401.07934
Monolith,D,6,"544852.7E, 6987268N",5.8,0.85,0,0.001,0.001,2.015,0.001,0.45,0,0.04,46890.16617,1126.354722,34900.94681,48024.39633,48016.52089,130941.864
Monolith,D,7,"544852.7E, 6987268N",5.83,0.741,0,0.001,0.001,1.97,1.12,0.31,0,0.039,44307.74807,0,8580.413999,9129.276953,44307.74807,62017.43903
Monolith,D,8,"544852.7E, 6987268N",5.83,1.16,0,0.001,0.164,2.8,1.2,0.48,0,0.084,31401.26926,0,8829.521563,6433.928882,31401.26926,46664.71971
